ticker,direction,entry_date,exit_date,entry_price,exit_price,stop_price,target_price,size_shares,atr_at_entry,holding_days,outcome,gross_pnl,cost,net_pnl,return_pct
KO,long,2021-01-04,2021-01-05,46.3722,44.9453,44.9453,48.5127,1078,0.7135,1,stop_loss,-1538.27,20.0,-1558.27,-0.030772
XLF,long,2021-01-04,2021-01-07,27.0012,28.105,26.2653,28.105,1851,0.3679,3,successful,2043.14,19.99,2023.15,0.04088
JPM,long,2021-01-04,2021-01-07,110.9095,116.9064,106.9115,116.9064,450,1.999,3,successful,2698.62,19.96,2678.66,0.054071
TSLA,long,2021-01-04,2021-01-08,239.82,275.141,216.2727,275.141,106,11.7737,4,successful,3744.03,10.17,3733.86,0.147281
NFLX,long,2021-01-04,2021-01-06,53.9,51.1011,51.1011,58.0984,893,1.3994,2,stop_loss,-2499.42,19.25,-2518.67,-0.051928
TSM,long,2021-01-05,2021-01-07,103.0768,109.9646,98.485,109.9646,484,2.2959,2,successful,3333.69,19.96,3313.73,0.066822
SLV,long,2021-01-05,2021-01-08,25.46,24.306,24.306,27.191,1960,0.577,3,stop_loss,-2261.84,19.96,-2281.8,-0.045326
EEM,long,2021-01-06,2021-01-08,47.0276,48.6804,45.9258,48.6804,1058,0.5509,2,successful,1748.63,19.9,1728.73,0.035145
WFC,long,2021-01-06,2021-01-12,28.2913,30.481,26.8315,30.481,1705,0.7299,4,successful,3733.43,19.29,3714.14,0.077398
USO,long,2021-01-06,2021-01-14,33.94,36.1045,32.497,36.1045,1467,0.7215,6,successful,3175.32,19.92,3155.41,0.063774
DE,long,2021-01-06,2021-01-07,256.8786,271.6689,247.0184,271.6689,193,4.9301,1,successful,2854.53,19.83,2834.7,0.057577
CAT,long,2021-01-07,2021-01-25,178.5789,170.8388,170.8388,190.1891,281,3.87,11,stop_loss,-2174.97,20.07,-2195.04,-0.043343
TLT,short,2021-01-07,2021-02-05,128.3608,125.3263,130.8377,124.6455,392,1.2384,20,timeout,1189.51,20.13,1169.39,0.02364
DE,long,2021-01-07,2021-01-27,274.4024,263.0842,263.0842,291.3797,183,5.6591,13,stop_loss,-2071.23,20.09,-2091.31,-0.041247
META,short,2021-01-07,2021-01-26,263.8295,278.6324,278.6324,241.6253,170,7.4014,12,stop_loss,-2516.48,17.94,-2534.42,-0.056108
XLF,long,2021-01-07,2021-01-25,28.2422,27.3589,27.3589,29.5672,1782,0.4417,11,stop_loss,-1574.08,20.13,-1594.21,-0.031277
JPM,long,2021-01-07,2021-01-25,118.8838,114.2822,114.2822,125.7862,423,2.3008,11,stop_loss,-1946.48,20.12,-1966.6,-0.038707
BAC,long,2021-01-07,2021-01-21,29.3546,28.1067,28.1067,31.2263,1714,0.6239,9,stop_loss,-2138.82,20.13,-2158.95,-0.04251
IWM,long,2021-01-07,2021-01-25,193.1034,204.2413,185.6781,204.2413,260,3.7126,11,successful,2895.87,20.08,2875.78,0.057679
NVDA,short,2021-01-07,2021-01-11,12.9304,13.6086,13.6086,11.9132,3711,0.3391,2,stop_loss,-2516.55,19.19,-2535.74,-0.052445
TSM,long,2021-01-07,2021-01-14,109.4315,116.1809,104.9318,116.1809,460,2.2498,5,successful,3104.74,20.14,3084.6,0.061677
KO,short,2021-01-08,2021-02-08,42.7493,42.6553,44.3933,40.2833,1181,0.822,20,timeout,111.01,20.19,90.82,0.002199
AVGO,long,2021-01-08,2021-02-03,40.1283,42.8461,38.3164,42.8461,1258,0.9059,17,successful,3418.97,20.19,3398.78,0.067727
TSLA,long,2021-01-08,2021-01-29,285.3333,260.648,260.648,322.3613,102,12.3427,14,stop_loss,-2517.9,11.64,-2529.55,-0.086514
SPY,long,2021-01-08,2021-01-29,354.3041,345.4885,345.4885,367.5275,142,4.4078,14,stop_loss,-1251.81,20.12,-1271.94,-0.024881
QQQ,long,2021-01-11,2021-01-25,306.2497,318.4675,298.1044,318.4675,164,4.0726,9,successful,2003.73,20.09,1983.64,0.039895
EEM,long,2021-01-11,2021-01-20,48.042,49.8702,46.8232,49.8702,1048,0.6094,6,successful,1915.98,20.14,1895.84,0.038055
XLE,long,2021-01-12,2021-01-27,17.5097,16.5134,16.5134,19.004,2537,0.4981,10,stop_loss,-2527.47,17.77,-2545.24,-0.056897
XOM,long,2021-01-12,2021-01-27,38.5327,36.4063,36.4063,41.7222,1188,1.0632,10,stop_loss,-2526.12,18.31,-2544.43,-0.055183
MRK,long,2021-01-12,2021-01-14,68.79,66.2344,66.2344,72.6234,734,1.2778,2,stop_loss,-1875.82,20.2,-1896.02,-0.037151
LLY,long,2021-01-12,2021-01-19,173.1748,186.9623,163.9832,186.9623,275,4.5958,4,successful,3791.55,19.05,3772.5,0.079616
COP,long,2021-01-13,2021-01-21,39.2432,36.6118,36.6118,43.1903,960,1.3157,5,stop_loss,-2526.15,15.07,-2541.22,-0.067054
F,long,2021-01-13,2021-01-20,7.4387,7.9926,7.0694,7.9926,21,0.1847,4,successful,11.63,0.06,11.57,0.07447
CRM,short,2021-01-13,2021-01-22,213.8602,222.5782,222.5782,200.7831,3,4.359,6,stop_loss,-26.15,0.26,-26.41,-0.040765
