seller_state,orders,sellers,revenue,avg_item_value
SP,68641,1769,9961019.109999623,126.7240739656967
PR,7512,335,1424161.2499999972,167.8050253328617
MG,7735,236,1185050.1200000006,137.7484737882135
RJ,4227,163,911918.6700000013,194.6464610458914
SC,3603,184,717739.3699999988,179.43484249999972
RS,1962,125,429854.21000000095,198.18082526509957
BA,550,18,297146.92999999993,476.1970032051281
DF,808,30,112892.77999999996,127.8513929784824
PE,403,9,103486.09999999999,232.55303370786515
GO,451,39,77089.47999999998,151.75094488188972
ES,310,22,58853.49000000001,161.6854120879121
MA,389,1,48169.5,119.82462686567165
CE,87,12,23724.050000000003,263.6005555555556
MT,136,4,21623.670000000002,150.164375
PB,35,6,17844.43,482.2818918918919
RN,51,5,11296.710000000003,201.72696428571433
MS,49,5,9750.649999999998,195.01299999999995
RO,14,2,5474.98,391.07
PI,11,1,2791.55,253.77727272727273
SE,9,2,1924.69,192.469
PA,8,1,1393.11,174.13875
AM,3,1,1258.8,419.59999999999997
